id,label,parent,obsolete
id_tcl3_1_1_1,Tool Family 1.1.1,id_tcl2_1_1,0
id_tcl3_1_1_2,Tool Family 1.1.2,id_tcl2_1_1,0
id_tcl3_1_2_1,Tool Family 1.2.1,id_tcl2_1_2,0
id_tcl3_1_2_2,Tool Family 1.2.2,id_tcl2_1_2,0
id_tcl3_2_1_1,Tool Family 2.1.1,id_tcl2_2_1,0
id_tcl3_2_1_2,Tool Family 2.1.2,id_tcl2_2_1,0
id_tcl3_2_2_1,Tool Family 2.2.1,id_tcl2_2_2,0
id_tcl3_2_2_2,Tool Family 2.2.2,id_tcl2_2_2,0
id_tcl3_3_1_1,Tool Family 3.1.1,id_tcl2_3_1,0
id_tcl3_3_1_2,Tool Family 3.1.2,id_tcl2_3_1,0
id_tcl3_3_2_1,Tool Family 3.2.1,id_tcl2_3_2,0
id_tcl3_3_2_2,Tool Family 3.2.2,id_tcl2_3_2,0
