id,action,relation,direction,propagate,enforce, obsolete
Id_00001,checkout,http://eloraplm.aritu.com/relations/CadBasedOn,0,1,0,0
Id_00002,checkout,http://eloraplm.aritu.com/relations/CadComposedOf,0,0,0,0
Id_00003,checkout,http://eloraplm.aritu.com/relations/CadDrawingOf,0,1,0,0
Id_00004,checkout,http://eloraplm.aritu.com/relations/CadHasDesignTable,0,1,0,0
Id_00005,checkout,http://eloraplm.aritu.com/relations/CadHasSuppressed,0,0,0,0
Id_00006,checkout,http://eloraplm.aritu.com/relations/CadHasVirtualComponent,0,1,1,0
Id_00007,checkout,http://eloraplm.aritu.com/relations/CadInContextWith,0,0,0,0
Id_00008,checkout,http://eloraplm.aritu.com/relations/CadDrawingOf,1,1,0,0
Id_00009,getCheckout,http://eloraplm.aritu.com/relations/CadComposedOf,0,1,1,0
Id_00010,getCheckout,http://eloraplm.aritu.com/relations/CadDrawingOf,0,1,1,0
Id_00011,getCheckout,http://eloraplm.aritu.com/relations/CadHasDesignTable,0,1,1,0
Id_00012,getCheckout,http://eloraplm.aritu.com/relations/CadHasSuppressed,0,0,0,0
Id_00013,getCheckout,http://eloraplm.aritu.com/relations/CadHasVirtualComponent,0,1,1,0
Id_00014,getCheckout,http://eloraplm.aritu.com/relations/CadInContextWith,0,0,0,0
Id_00015,getCheckout,http://eloraplm.aritu.com/relations/CadBasedOn,1,1,1,0
Id_00016,getCheckout,http://eloraplm.aritu.com/relations/CadDrawingOf,1,0,0,0
Id_00017,checkin,http://eloraplm.aritu.com/relations/CadBasedOn,0,1,0,0
Id_00018,checkin,http://eloraplm.aritu.com/relations/CadComposedOf,0,0,0,0
Id_00019,checkin,http://eloraplm.aritu.com/relations/CadDrawingOf,0,1,0,0
Id_00020,checkin,http://eloraplm.aritu.com/relations/CadHasDesignTable,0,1,0,0
Id_00021,checkin,http://eloraplm.aritu.com/relations/CadHasSuppressed,0,0,0,0
Id_00022,checkin,http://eloraplm.aritu.com/relations/CadHasVirtualComponent,0,1,1,0
Id_00023,checkin,http://eloraplm.aritu.com/relations/CadInContextWith,0,0,0,0
Id_00024,checkin,http://eloraplm.aritu.com/relations/CadDrawingOf,1,1,0,0
Id_00025,getOpen,http://eloraplm.aritu.com/relations/CadComposedOf,0,1,1,0
Id_00026,getOpen,http://eloraplm.aritu.com/relations/CadDrawingOf,0,1,1,0
Id_00027,getOpen,http://eloraplm.aritu.com/relations/CadHasDesignTable,0,1,1,0
Id_00028,getOpen,http://eloraplm.aritu.com/relations/CadHasSuppressed,0,0,0,0
Id_00029,getOpen,http://eloraplm.aritu.com/relations/CadHasVirtualComponent,0,1,1,0
Id_00030,getOpen,http://eloraplm.aritu.com/relations/CadInContextWith,0,0,0,0
Id_00031,getOpen,http://eloraplm.aritu.com/relations/CadBasedOn,1,1,1,0
Id_00032,getOpen,http://eloraplm.aritu.com/relations/CadDrawingOf,1,0,0,0
Id_00033,newRevision,http://eloraplm.aritu.com/relations/CadBasedOn,0,0,0,0
Id_00034,newRevision,http://eloraplm.aritu.com/relations/CadComposedOf,0,0,0,0
Id_00035,newRevision,http://eloraplm.aritu.com/relations/CadDrawingOf,0,1,1,0
Id_00036,newRevision,http://eloraplm.aritu.com/relations/CadHasDesignTable,0,1,0,0
Id_00037,newRevision,http://eloraplm.aritu.com/relations/CadHasSuppressed,0,0,0,0
Id_00038,newRevision,http://eloraplm.aritu.com/relations/CadHasVirtualComponent,0,1,1,0
Id_00039,newRevision,http://eloraplm.aritu.com/relations/CadInContextWith,0,0,0,0
Id_00040,newRevision,http://eloraplm.aritu.com/relations/CadDrawingOf,1,1,1,0
Id_00041,approve,http://eloraplm.aritu.com/relations/CadBasedOn,0,1,1,0
Id_00042,approve,http://eloraplm.aritu.com/relations/CadComposedOf,0,1,1,0
Id_00043,approve,http://eloraplm.aritu.com/relations/CadHasSuppressed,0,0,0,0
Id_00044,approve,http://eloraplm.aritu.com/relations/CadHasVirtualComponent,0,1,1,0
Id_00045,approve,http://eloraplm.aritu.com/relations/CadInContextWith,0,0,0,0
Id_00046,approve,http://eloraplm.aritu.com/relations/CadDrawingOf,0,1,1,0
Id_00047,approve,http://eloraplm.aritu.com/relations/CadHasDesignTable,0,1,1,0
Id_00048,approve,http://eloraplm.aritu.com/relations/BomComposedOf,0,1,1,0
Id_00050,approve,http://eloraplm.aritu.com/relations/BomHasSpecification,0,1,1,0
