id,label,parent,obsolete,ordering
"mechanical","Mecánico","","0","001"
"electronic","Electrónico","","0","002"
"electromechanical","Electromecánico","","0","003"
"ring","Anilla","mechanical","0","001"
"washer","Arandela","mechanical","0","002"
"connecting rod","Biela","mechanical","0","003"
"box","Caja","mechanical","0","004"
"gear","Engranaje","mechanical","0","005"
"o-ring","Junta tórica","mechanical","0","006"
"screw","Tornillo","mechanical","0","007"
"pipe","Tubo","mechanical","0","008"
"nut","Tuerca","mechanical","0","009"
"rod","Varilla","mechanical","0","010"
"batterie","Batería","electronic","0","011"
"digital circuit","Circuito digital","electronic","0","012"
"linear circuit","Circuito lineal","electronic","0","013"
"capacitor","Condensador","electronic","0","014"
"inductor","Inductor","electronic","0","015"
"memory","Memoria","electronic","0","016"
"pcb ","PCB -Circuito impreso","electronic","0","017"
"motherboard","Placa base","electronic","0","018"
"resistor","Resistencia","electronic","0","019"
"connector","Conector","electromechanical","0","020"
"fuse","Fusible","electromechanical","0","021"
"switch","Interruptor","electromechanical","0","022"
"engine","Motor","electromechanical","0","023"
"relay","Relé","electromechanical","0","024"
"thermostat","Termostato","electromechanical","0","025"
"transformer","Transformador","electromechanical","0","026"
"turbine","Turbina","electromechanical","0","027"
"fan","Ventilador","electromechanical","0","028"

