id,authoring_tool,cad_doctype,cad_metadata_type,cad_metadata_name,description,obsolete,ordering
1,SolidWorks,SLDDRW,FIX,FILENAME,Reference,0,10
2,SolidWorks,SLDDRW,FIX,Title,Title,0,20
3,SolidWorks,SLDDRW,FIX,AuthoringTool,Authoring Tool,0,30
4,SolidWorks,SLDDRW,FIX,AuthoringToolVersion,Authoring Tool Version,0,40
5,SolidWorks,SLDDRW,FIX,IntegrationTool,Integration Tool,0,50
6,SolidWorks,SLDPRT,FIX,FILENAME,Reference,0,60
7,SolidWorks,SLDPRT,FIX,Title,Title,0,70
8,SolidWorks,SLDPRT,FIX,ActiveConfigurationName,Active Configuration,0,80
9,SolidWorks,SLDPRT,FIX,Material,Material,0,90
10,SolidWorks,SLDPRT,FIX,AuthoringTool,Authoring Tool,0,100
11,SolidWorks,SLDPRT,FIX,AuthoringToolVersion,Authoring Tool Version,0,110
12,SolidWorks,SLDPRT,FIX,IntegrationTool,Integration Tool,0,120
13,SolidWorks,SLDASM,FIX,FILENAME,Reference,0,130
14,SolidWorks,SLDASM,FIX,Title,Title,0,140
15,SolidWorks,SLDASM,FIX,ActiveConfigurationName,Active Configuration,0,150
16,SolidWorks,SLDASM,FIX,AuthoringTool,Authoring Tool,0,160
17,SolidWorks,SLDASM,FIX,AuthoringToolVersion,Authoring Tool Version,0,170
18,SolidWorks,SLDASM,FIX,IntegrationTool,Integration Tool,0,180
19,SolidWorks,SLDDTB,FIX,Title,Title,0,190
20,SolidWorks,SLDDTB,FIX,TB_FILENAME,Reference,0,200
21,SolidWorks,SLDDTB,FIX,AuthoringTool,AuthoringTool,0,210
22,SolidWorks,SLDDTB,FIX,AuthoringToolVersion,AuthoringToolVersion,0,220
23,SolidWorks,SLDDTB,FIX,IntegrationTool,Integration Tool,0,230
24,Catia,CATDRAWING,FIX,FILENAME,Reference,0,240
25,Catia,CATDRAWING,FIX,Title,Title,0,250
26,Catia,CATDRAWING,FIX,AuthoringTool,Authoring Tool,0,260
27,Catia,CATDRAWING,FIX,AuthoringToolVersion,Authoring Tool Version,0,270
28,Catia,CATDRAWING,FIX,IntegrationTool,Integration Tool,0,280
29,Catia,CATPART,FIX,FILENAME,Reference,0,290
30,Catia,CATPART,FIX,Title,Title,0,300
31,Catia,CATPART,FIX,ActiveConfigurationName,Active Configuration,0,310
32,Catia,CATPART,FIX,Material,Material,0,320
33,Catia,CATPART,FIX,AuthoringTool,Authoring Tool,0,330
34,Catia,CATPART,FIX,AuthoringToolVersion,Authoring Tool Version,0,340
35,Catia,CATPART,FIX,IntegrationTool,Integration Tool,0,350
36,Catia,CATPRODUCT,FIX,FILENAME,Reference,0,360
37,Catia,CATPRODUCT,FIX,Title,Title,0,370
38,Catia,CATPRODUCT,FIX,ActiveConfigurationName,Active Configuration,0,380
39,Catia,CATPRODUCT,FIX,AuthoringTool,Authoring Tool,0,390
40,Catia,CATPRODUCT,FIX,AuthoringToolVersion,Authoring Tool Version,0,400
41,Catia,CATPRODUCT,FIX,IntegrationTool,Integration Tool,0,410
42,Catia,CATDTB,FIX,Title,Title,0,420
43,Catia,CATDTB,FIX,TB_FILENAME,Reference,0,430
44,Catia,CATDTB,FIX,AuthoringTool,AuthoringTool,0,440
45,Catia,CATDTB,FIX,AuthoringToolVersion,AuthoringToolVersion,0,450
46,Catia,CATDTB,FIX,IntegrationTool,Integration Tool,0,460
47,SolidEdge,DFT,FIX,FILENAME,Reference,0,470
48,SolidEdge,DFT,FIX,Title,Title,0,480
49,SolidEdge,DFT,FIX,AuthoringTool,Authoring Tool,0,490
50,SolidEdge,DFT,FIX,AuthoringToolVersion,Authoring Tool Version,0,500
51,SolidEdge,DFT,FIX,IntegrationTool,Integration Tool,0,510
52,SolidEdge,PAR,FIX,FILENAME,Reference,0,520
53,SolidEdge,PAR,FIX,Title,Title,0,530
54,SolidEdge,PAR,FIX,ActiveConfigurationName,Active Configuration,0,540
55,SolidEdge,PAR,FIX,Material,Material,0,550
56,SolidEdge,PAR,FIX,AuthoringTool,Authoring Tool,0,560
57,SolidEdge,PAR,FIX,AuthoringToolVersion,Authoring Tool Version,0,570
58,SolidEdge,PAR,FIX,IntegrationTool,Integration Tool,0,580
59,SolidEdge,ASM,FIX,FILENAME,Reference,0,590
60,SolidEdge,ASM,FIX,Title,Title,0,600
61,SolidEdge,ASM,FIX,ActiveConfigurationName,Active Configuration,0,610
62,SolidEdge,ASM,FIX,AuthoringTool,Authoring Tool,0,620
63,SolidEdge,ASM,FIX,AuthoringToolVersion,Authoring Tool Version,0,630
64,SolidEdge,ASM,FIX,IntegrationTool,Integration Tool,0,640
65,SolidEdge,EDGEDTB,FIX,Title,Title,0,650
66,SolidEdge,EDGEDTB,FIX,TB_FILENAME,Reference,0,660
67,SolidEdge,EDGEDTB,FIX,AuthoringTool,AuthoringTool,0,670
68,SolidEdge,EDGEDTB,FIX,AuthoringToolVersion,AuthoringToolVersion,0,680
69,SolidEdge,EDGEDTB,FIX,IntegrationTool,Integration Tool,0,690
70,NX,NXDRW,FIX,FILENAME,Reference,0,700
71,NX,NXDRW,FIX,Title,Title,0,710
72,NX,NXDRW,FIX,AuthoringTool,Authoring Tool,0,720
73,NX,NXDRW,FIX,AuthoringToolVersion,Authoring Tool Version,0,730
74,NX,NXDRW,FIX,IntegrationTool,Integration Tool,0,740
75,NX,NXPRT,FIX,FILENAME,Reference,0,750
76,NX,NXPRT,FIX,Title,Title,0,760
77,NX,NXPRT,FIX,ActiveConfigurationName,Active Configuration,0,770
